
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Electronics and Communications Engineering,B. Tech.,449,40 %,53 %,40 %,27 %,25 %,13 %,00 %,
Electrical Engineering,B. Tech.,446,38 %,33 %,20 %,60 %,25 %,27 %,00 %,
Mechanical Engineering,B. Tech.,446,44 %,47 %,27 %,60 %,30 %,33 %,00 %,
Computer Science Engineering,B. Tech.,446,40 %,33 %,33 %,53 %,40 %,40 %,00 %,
Information Technology,B. Tech.,446,38 %,60 %,13 %,40 %,20 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,40 %,47 %,20 %,53 %,20 %,47 %,00 %,
Computer Science Engineering,B. Tech.,443,40 %,20 %,53 %,47 %,15 %,27 %,00 %,
Electrical Engineering,B. Tech.,443,40 %,40 %,33 %,47 %,35 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,38 %,73 %,00 %,40 %,50 %,27 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,443,40 %,33 %,27 %,60 %,20 %,40 %,00 %,
Computer Science Engineering,B. Tech.,440,40 %,53 %,07 %,60 %,30 %,20 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,440,38 %,27 %,40 %,47 %,35 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,440,38 %,60 %,40 %,13 %,15 %,40 %,00 %,
Electrical Engineering,B. Tech.,437,36 %,53 %,53 %,00 %,65 %,27 %,00 %,
Mechanical Engineering,B. Tech.,437,38 %,47 %,33 %,33 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,434,38 %,40 %,27 %,47 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,434,38 %,47 %,33 %,33 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,434,38 %,33 %,33 %,47 %,25 %,47 %,00 %,
Mechanical Engineering,B. Tech.,434,36 %,53 %,33 %,20 %,60 %,27 %,00 %,
Computer Science Engineering,B. Tech.,434,38 %,20 %,40 %,53 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,36 %,67 %,13 %,27 %,30 %,40 %,00 %,
Information Technology,B. Tech.,431,36 %,40 %,13 %,53 %,45 %,07 %,00 %,
Mechanical Engineering,B. Tech.,431,36 %,53 %,47 %,07 %,55 %,20 %,00 %,
Electrical Engineering,B. Tech.,428,33 %,47 %,27 %,27 %,40 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,36 %,60 %,07 %,40 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,428,33 %,60 %,20 %,20 %,40 %,13 %,00 %,
Mechanical Engineering,B. Tech.,425,33 %,53 %,13 %,33 %,65 %,33 %,00 %,
Mechanical Engineering,B. Tech.,422,36 %,27 %,40 %,40 %,05 %,33 %,00 %,
Mechanical Engineering,B. Tech.,419,36 %,40 %,27 %,40 %,20 %,33 %,00 %,
Mechanical Engineering,B. Tech.,419,33 %,33 %,40 %,27 %,35 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,419,33 %,40 %,20 %,40 %,25 %,07 %,00 %,
Mechanical Engineering,B. Tech.,419,33 %,40 %,27 %,33 %,40 %,40 %,00 %,
Electrical Engineering,B. Tech.,419,36 %,13 %,73 %,20 %,45 %,33 %,00 %,
Electrical Engineering,B. Tech.,416,33 %,53 %,13 %,33 %,25 %,20 %,00 %,
Information Technology,B. Tech.,416,33 %,33 %,27 %,40 %,40 %,13 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,413,33 %,40 %,40 %,20 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,410,31 %,13 %,27 %,53 %,35 %,27 %,00 %,
Mechanical Engineering,B. Tech.,410,33 %,27 %,47 %,27 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,410,31 %,53 %,20 %,20 %,20 %,33 %,00 %,
Information Technology,B. Tech.,407,31 %,20 %,27 %,47 %,15 %,13 %,20 %,
Computer Science Engineering,B. Tech.,407,29 %,27 %,27 %,33 %,30 %,67 %,20 %,
Electronics and Communications Engineering,B. Tech.,407,29 %,33 %,27 %,27 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,404,29 %,33 %,27 %,27 %,55 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,401,29 %,40 %,07 %,40 %,40 %,47 %,00 %,
Information Technology,B. Tech.,398,31 %,27 %,47 %,20 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,398,29 %,07 %,27 %,53 %,30 %,33 %,00 %,
Computer Science Engineering,B. Tech.,395,29 %,47 %,00 %,40 %,30 %,47 %,00 %,
Information Technology,B. Tech.,395,29 %,40 %,20 %,27 %,40 %,13 %,20 %,
Computer Science Engineering,B. Tech.,395,31 %,40 %,13 %,40 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,389,27 %,40 %,00 %,40 %,25 %,67 %,20 %,
Electrical Engineering,B. Tech.,389,27 %,27 %,20 %,33 %,25 %,13 %,00 %,
Mechanical Engineering,B. Tech.,389,31 %,40 %,20 %,33 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,389,27 %,33 %,27 %,20 %,35 %,40 %,00 %,
Information Technology,B. Tech.,386,27 %,47 %,13 %,20 %,30 %,27 %,20 %,
Mechanical Engineering,B. Tech.,386,27 %,27 %,13 %,40 %,50 %,13 %,00 %,
Mechanical Engineering,B. Tech.,383,29 %,33 %,20 %,33 %,40 %,33 %,00 %,
Mechanical Engineering,B. Tech.,383,27 %,40 %,13 %,27 %,30 %,27 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,383,29 %,33 %,13 %,40 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,374,27 %,20 %,07 %,53 %,15 %,07 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,368,22 %,20 %,20 %,27 %,30 %,27 %,00 %,
Mechanical Engineering,B. Tech.,368,24 %,13 %,40 %,20 %,20 %,33 %,00 %,
Mechanical Engineering,B. Tech.,365,24 %,13 %,20 %,40 %,20 %,13 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,365,24 %,40 %,13 %,20 %,25 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,362,27 %,13 %,47 %,20 %,25 %,47 %,00 %,
Electrical Engineering,B. Tech.,359,24 %,13 %,20 %,40 %,35 %,13 %,00 %,
Computer Science Engineering,B. Tech.,356,22 %,20 %,27 %,20 %,20 %,20 %,00 %,
Electrical Engineering,B. Tech.,356,22 %,20 %,27 %,20 %,40 %,67 %,00 %,
Electronics and Communications Engineering,B. Tech.,353,20 %,27 %,00 %,33 %,60 %,07 %,00 %,
Electrical Engineering,B. Tech.,353,20 %,33 %,13 %,13 %,25 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,350,22 %,13 %,27 %,27 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,347,22 %,33 %,07 %,27 %,45 %,20 %,00 %,
Mechanical Engineering,B. Tech.,344,20 %,47 %,00 %,13 %,25 %,13 %,00 %,
Computer Science Engineering,B. Tech.,338,20 %,20 %,27 %,13 %,20 %,33 %,00 %,
Electrical Engineering,B. Tech.,335,20 %,20 %,13 %,27 %,25 %,13 %,00 %,
Mechanical Engineering,B. Tech.,320,18 %,20 %,20 %,13 %,40 %,27 %,00 %,
Mechanical Engineering,B. Tech.,317,16 %,13 %,07 %,27 %,35 %,13 %,00 %,
Computer Science Engineering,B. Tech.,590,62 %,67 %,33 %,87 %,30 %,80 %,56 %,
Electronics and Communications Engineering,B. Tech.,584,69 %,87 %,67 %,53 %,40 %,40 %,00 %,
Computer Science Engineering,B. Tech.,578,62 %,67 %,53 %,67 %,35 %,60 %,60 %,Placed
Computer Science Engineering,B. Tech.,578,60 %,73 %,47 %,60 %,25 %,33 %,96 %,Placed
Computer Science Engineering,B. Tech.,575,60 %,80 %,53 %,47 %,10 %,33 %,88 %,
Computer Science Engineering,B. Tech.,572,73 %,80 %,67 %,73 %,45 %,40 %,20 %,
Computer Science Engineering,B. Tech.,569,62 %,47 %,53 %,87 %,50 %,60 %,20 %,
Electronics and Communications Engineering,B. Tech.,569,73 %,93 %,67 %,60 %,40 %,13 %,00 %,
Electrical Engineering,B. Tech.,569,64 %,67 %,53 %,73 %,35 %,47 %,00 %,
Information Technology,B. Tech.,566,60 %,40 %,67 %,73 %,50 %,53 %,100 %,
Electrical Engineering,B. Tech.,563,64 %,80 %,47 %,67 %,45 %,40 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,563,69 %,67 %,93 %,47 %,65 %,40 %,20 %,Placed
Computer Science Engineering,B. Tech.,557,56 %,67 %,47 %,53 %,50 %,47 %,60 %,Placed
Information Technology,B. Tech.,554,64 %,93 %,33 %,67 %,25 %,33 %,00 %,Placed
Computer Science Engineering,B. Tech.,554,67 %,60 %,47 %,93 %,35 %,60 %,00 %,Placed
Computer Science Engineering,B. Tech.,554,64 %,53 %,60 %,80 %,45 %,60 %,00 %,
Electrical Engineering,B. Tech.,551,60 %,60 %,47 %,73 %,70 %,27 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,551,62 %,67 %,53 %,67 %,45 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,551,60 %,60 %,67 %,53 %,45 %,53 %,20 %,Placed
Electronics and Communications Engineering,B. Tech.,548,58 %,53 %,60 %,60 %,75 %,20 %,20 %,
Instrumentation and Control Engineering,B. Tech.,548,64 %,80 %,40 %,73 %,45 %,33 %,00 %,
Computer Science Engineering,B. Tech.,545,53 %,60 %,33 %,67 %,35 %,53 %,100 %,Placed
Computer Science Engineering,B. Tech.,545,60 %,67 %,47 %,67 %,15 %,27 %,20 %,Placed
Electrical Engineering,B. Tech.,545,60 %,67 %,53 %,60 %,30 %,27 %,20 %,
Information Technology,B. Tech.,539,58 %,60 %,47 %,67 %,40 %,40 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,539,62 %,67 %,53 %,67 %,35 %,33 %,20 %,
Information Technology,B. Tech.,533,56 %,47 %,60 %,60 %,50 %,40 %,00 %,
Computer Science Engineering,B. Tech.,533,53 %,73 %,40 %,47 %,30 %,40 %,56 %,Placed
Information Technology,B. Tech.,530,56 %,80 %,33 %,53 %,50 %,33 %,00 %,Placed
Electrical Engineering,B. Tech.,527,53 %,53 %,27 %,80 %,50 %,20 %,00 %,
Electrical Engineering,B. Tech.,527,64 %,67 %,60 %,67 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,527,58 %,67 %,53 %,53 %,35 %,27 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,524,64 %,73 %,47 %,73 %,40 %,00 %,00 %,
Electronics and Communications Engineering,B. Tech.,524,53 %,60 %,47 %,53 %,35 %,27 %,20 %,Placed
Electronics and Communications Engineering,B. Tech.,521,51 %,67 %,40 %,47 %,30 %,27 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,521,56 %,60 %,47 %,60 %,45 %,47 %,00 %,
Electrical Engineering,B. Tech.,521,51 %,67 %,20 %,67 %,65 %,53 %,20 %,Placed
Information Technology,B. Tech.,521,58 %,67 %,67 %,40 %,35 %,40 %,20 %,
Electrical Engineering,B. Tech.,518,51 %,93 %,27 %,33 %,20 %,20 %,00 %,
Computer Science Engineering,B. Tech.,518,58 %,53 %,53 %,67 %,35 %,40 %,00 %,
Information Technology,B. Tech.,515,51 %,67 %,47 %,40 %,35 %,33 %,00 %,
Information Technology,B. Tech.,515,51 %,47 %,47 %,60 %,40 %,53 %,20 %,
Electrical Engineering,B. Tech.,515,51 %,67 %,40 %,47 %,40 %,20 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,515,49 %,67 %,27 %,53 %,50 %,53 %,20 %,
Instrumentation and Control Engineering,B. Tech.,515,51 %,67 %,33 %,53 %,40 %,47 %,00 %,Placed
Computer Science Engineering,B. Tech.,515,47 %,53 %,33 %,53 %,75 %,73 %,20 %,
Computer Science Engineering,B. Tech.,515,49 %,60 %,20 %,67 %,25 %,53 %,55 %,
Electronics and Communications Engineering,B. Tech.,512,51 %,53 %,40 %,60 %,50 %,27 %,00 %,
Computer Science Engineering,B. Tech.,512,51 %,53 %,40 %,60 %,40 %,53 %,00 %,
Electrical Engineering,B. Tech.,512,49 %,60 %,47 %,40 %,30 %,27 %,00 %,
Information Technology,B. Tech.,512,49 %,40 %,33 %,73 %,30 %,33 %,20 %,
Electrical Engineering,B. Tech.,512,53 %,60 %,33 %,67 %,15 %,27 %,00 %,Placed
Information Technology,B. Tech.,512,62 %,67 %,73 %,47 %,30 %,20 %,00 %,Placed
Computer Science Engineering,B. Tech.,512,53 %,80 %,33 %,47 %,40 %,47 %,20 %,
Instrumentation and Control Engineering,B. Tech.,512,53 %,60 %,40 %,60 %,30 %,20 %,00 %,Placed
Information Technology,B. Tech.,509,49 %,53 %,40 %,53 %,25 %,40 %,36 %,
Electronics and Communications Engineering,B. Tech.,506,49 %,67 %,27 %,53 %,20 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,49 %,60 %,33 %,53 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,506,49 %,67 %,33 %,47 %,45 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,56 %,53 %,53 %,60 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,503,47 %,53 %,40 %,47 %,50 %,47 %,00 %,
Electrical Engineering,B. Tech.,503,49 %,67 %,33 %,47 %,35 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,500,47 %,73 %,40 %,27 %,45 %,00 %,00 %,
Electrical Engineering,B. Tech.,500,49 %,40 %,53 %,53 %,45 %,47 %,00 %,
Electrical Engineering,B. Tech.,500,47 %,60 %,40 %,40 %,35 %,40 %,20 %,
Electrical Engineering,B. Tech.,497,47 %,27 %,53 %,60 %,25 %,53 %,20 %,
Electronics and Communications Engineering,B. Tech.,497,51 %,47 %,60 %,47 %,35 %,27 %,60 %,
Electrical Engineering,B. Tech.,497,44 %,53 %,33 %,47 %,60 %,13 %,00 %,
Instrumentation and Control Engineering,B. Tech.,497,51 %,67 %,53 %,33 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,497,47 %,53 %,33 %,53 %,45 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,494,51 %,60 %,53 %,40 %,65 %,27 %,00 %,
Instrumentation and Control Engineering,B. Tech.,494,49 %,47 %,53 %,47 %,35 %,47 %,00 %,
Information Technology,B. Tech.,494,51 %,53 %,60 %,40 %,45 %,40 %,00 %,
Computer Science Engineering,B. Tech.,494,47 %,73 %,33 %,33 %,30 %,47 %,00 %,
Instrumentation and Control Engineering,B. Tech.,494,47 %,53 %,40 %,47 %,35 %,40 %,00 %,
Information Technology,B. Tech.,494,49 %,87 %,13 %,47 %,35 %,07 %,00 %,
Computer Science Engineering,B. Tech.,491,44 %,47 %,20 %,67 %,30 %,40 %,20 %,
Instrumentation and Control Engineering,B. Tech.,491,47 %,73 %,27 %,40 %,70 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,47 %,40 %,27 %,73 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,491,44 %,40 %,27 %,67 %,50 %,47 %,20 %,
Information Technology,B. Tech.,491,49 %,67 %,40 %,40 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,491,51 %,33 %,67 %,53 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,488,49 %,60 %,53 %,33 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,488,47 %,60 %,20 %,60 %,30 %,27 %,00 %,
Computer Science Engineering,B. Tech.,485,44 %,47 %,40 %,47 %,50 %,60 %,00 %,
Electrical Engineering,B. Tech.,485,42 %,53 %,33 %,40 %,40 %,40 %,00 %,
Electrical Engineering,B. Tech.,485,44 %,60 %,47 %,27 %,40 %,20 %,00 %,
Instrumentation and Control Engineering,B. Tech.,485,44 %,60 %,13 %,60 %,20 %,33 %,00 %,
Computer Science Engineering,B. Tech.,482,44 %,47 %,40 %,47 %,30 %,47 %,00 %,
Computer Science Engineering,B. Tech.,482,44 %,47 %,40 %,47 %,25 %,53 %,00 %,
Electrical Engineering,B. Tech.,482,44 %,73 %,00 %,60 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,482,47 %,40 %,67 %,33 %,55 %,33 %,00 %,
Electrical Engineering,B. Tech.,479,44 %,40 %,40 %,53 %,50 %,47 %,00 %,
Computer Science Engineering,B. Tech.,479,44 %,40 %,47 %,47 %,15 %,20 %,20 %,
Electronics and Communications Engineering,B. Tech.,479,47 %,60 %,33 %,47 %,35 %,13 %,00 %,
Computer Science Engineering,B. Tech.,479,42 %,47 %,27 %,53 %,15 %,40 %,00 %,
Instrumentation and Control Engineering,B. Tech.,479,44 %,40 %,47 %,47 %,40 %,47 %,00 %,
Electrical Engineering,B. Tech.,476,44 %,53 %,33 %,47 %,55 %,27 %,00 %,
Electrical Engineering,B. Tech.,476,47 %,53 %,20 %,67 %,30 %,07 %,00 %,
Electrical Engineering,B. Tech.,476,42 %,67 %,33 %,27 %,40 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,44 %,53 %,53 %,27 %,30 %,00 %,00 %,
Computer Science Engineering,B. Tech.,476,42 %,60 %,27 %,40 %,40 %,40 %,20 %,
Computer Science Engineering,B. Tech.,476,44 %,33 %,40 %,60 %,20 %,47 %,00 %,
Instrumentation and Control Engineering,B. Tech.,476,44 %,40 %,53 %,40 %,45 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,42 %,67 %,13 %,47 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,42 %,67 %,13 %,47 %,20 %,40 %,00 %,
Electrical Engineering,B. Tech.,473,42 %,47 %,20 %,60 %,35 %,33 %,00 %,
Information Technology,B. Tech.,473,42 %,40 %,33 %,53 %,35 %,13 %,00 %,
Electrical Engineering,B. Tech.,473,49 %,33 %,53 %,60 %,30 %,13 %,00 %,
Computer Science Engineering,B. Tech.,473,42 %,47 %,33 %,47 %,55 %,27 %,00 %,
Electrical Engineering,B. Tech.,473,38 %,53 %,13 %,47 %,25 %,60 %,60 %,
Information Technology,B. Tech.,470,42 %,27 %,40 %,60 %,35 %,47 %,00 %,
Information Technology,B. Tech.,470,44 %,67 %,20 %,47 %,35 %,20 %,00 %,
Instrumentation and Control Engineering,B. Tech.,470,42 %,33 %,40 %,53 %,50 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,467,42 %,73 %,33 %,20 %,70 %,13 %,00 %,
Computer Science Engineering,B. Tech.,467,40 %,67 %,13 %,40 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,467,42 %,67 %,27 %,33 %,45 %,20 %,00 %,
Computer Science Engineering,B. Tech.,467,40 %,67 %,07 %,47 %,55 %,40 %,00 %,
Electrical Engineering,B. Tech.,464,42 %,53 %,40 %,33 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,464,44 %,33 %,53 %,47 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,464,40 %,33 %,47 %,40 %,40 %,40 %,20 %,
Information Technology,B. Tech.,464,42 %,60 %,27 %,40 %,25 %,20 %,00 %,
Electrical Engineering,B. Tech.,464,42 %,53 %,27 %,47 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,464,42 %,33 %,40 %,53 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,464,44 %,53 %,33 %,47 %,30 %,00 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,40 %,27 %,53 %,40 %,40 %,47 %,00 %,
Electrical Engineering,B. Tech.,461,40 %,60 %,33 %,27 %,45 %,27 %,00 %,
Electrical Engineering,B. Tech.,461,40 %,47 %,40 %,33 %,35 %,27 %,00 %,
Instrumentation and Control Engineering,B. Tech.,461,42 %,53 %,13 %,60 %,30 %,40 %,00 %,
Information Technology,B. Tech.,461,40 %,47 %,33 %,40 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,461,40 %,67 %,27 %,27 %,40 %,47 %,00 %,
Information Technology,B. Tech.,458,38 %,53 %,20 %,40 %,40 %,53 %,20 %,
Electrical Engineering,B. Tech.,458,40 %,40 %,27 %,53 %,25 %,33 %,00 %,
Instrumentation and Control Engineering,B. Tech.,458,40 %,60 %,13 %,47 %,35 %,33 %,00 %,
Information Technology,B. Tech.,458,38 %,53 %,33 %,27 %,40 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,42 %,47 %,20 %,60 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,455,38 %,53 %,47 %,13 %,50 %,27 %,20 %,
Electrical Engineering,B. Tech.,455,38 %,53 %,13 %,47 %,35 %,53 %,00 %,
Information Technology,B. Tech.,452,38 %,27 %,40 %,47 %,30 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,452,40 %,27 %,47 %,47 %,35 %,20 %,00 %,
Instrumentation and Control Engineering,B. Tech.,452,38 %,60 %,20 %,33 %,55 %,13 %,00 %,
Electrical Engineering,B. Tech.,452,38 %,33 %,33 %,47 %,65 %,13 %,00 %,
Electrical Engineering,B. Tech.,452,40 %,60 %,40 %,20 %,30 %,00 %,00 %,
Computer Science Engineering,B. Tech.,452,40 %,53 %,27 %,40 %,20 %,33 %,20 %,
Computer Science Engineering,B. Tech.,452,40 %,47 %,20 %,53 %,20 %,20 %,00 %,
Computer Science Engineering,B. Tech.,452,38 %,47 %,13 %,53 %,30 %,20 %,20 %,
Information Technology,B. Tech.,449,38 %,67 %,27 %,20 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,449,38 %,40 %,40 %,33 %,25 %,27 %,20 %,
Electrical Engineering,B. Tech.,449,36 %,47 %,13 %,47 %,30 %,47 %,00 %,
Information Technology,B. Tech.,449,40 %,40 %,40 %,40 %,40 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,40 %,27 %,47 %,47 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,446,36 %,53 %,20 %,33 %,35 %,33 %,00 %,
Instrumentation and Control Engineering,B. Tech.,446,38 %,20 %,47 %,47 %,20 %,40 %,00 %,
Instrumentation and Control Engineering,B. Tech.,446,38 %,53 %,27 %,33 %,10 %,40 %,00 %,
Instrumentation and Control Engineering,B. Tech.,446,36 %,33 %,40 %,33 %,45 %,33 %,00 %,
Electrical Engineering,B. Tech.,446,38 %,27 %,60 %,27 %,55 %,20 %,00 %,
Electrical Engineering,B. Tech.,443,38 %,40 %,27 %,47 %,45 %,20 %,00 %,
Electrical Engineering,B. Tech.,440,36 %,47 %,13 %,47 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,440,38 %,47 %,33 %,33 %,40 %,27 %,00 %,
Information Technology,B. Tech.,437,33 %,27 %,27 %,47 %,20 %,53 %,00 %,
Instrumentation and Control Engineering,B. Tech.,437,33 %,47 %,27 %,27 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,437,33 %,47 %,27 %,27 %,45 %,33 %,20 %,
Information Technology,B. Tech.,437,36 %,33 %,40 %,33 %,35 %,27 %,00 %,
Instrumentation and Control Engineering,B. Tech.,434,36 %,73 %,20 %,13 %,25 %,20 %,00 %,
Electrical Engineering,B. Tech.,431,33 %,33 %,40 %,27 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,36 %,47 %,27 %,33 %,55 %,33 %,00 %,
Information Technology,B. Tech.,425,33 %,53 %,33 %,13 %,40 %,00 %,00 %,
Instrumentation and Control Engineering,B. Tech.,425,31 %,60 %,07 %,27 %,30 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,422,33 %,27 %,33 %,40 %,35 %,00 %,00 %,
Instrumentation and Control Engineering,B. Tech.,419,31 %,53 %,27 %,13 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,416,31 %,20 %,27 %,47 %,10 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,416,31 %,53 %,07 %,33 %,50 %,47 %,00 %,
Electrical Engineering,B. Tech.,413,29 %,27 %,27 %,33 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,407,29 %,33 %,07 %,47 %,30 %,13 %,00 %,
Electrical Engineering,B. Tech.,407,31 %,73 %,00 %,20 %,30 %,00 %,00 %,
Electrical Engineering,B. Tech.,407,31 %,40 %,20 %,33 %,55 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,401,29 %,27 %,27 %,33 %,35 %,40 %,00 %,
Electrical Engineering,B. Tech.,395,27 %,27 %,33 %,20 %,45 %,13 %,00 %,
Computer Science Engineering,B. Tech.,392,27 %,27 %,33 %,20 %,50 %,33 %,00 %,
Computer Science Engineering,B. Tech.,392,27 %,73 %,07 %,00 %,20 %,27 %,00 %,
Electrical Engineering,B. Tech.,389,27 %,47 %,07 %,27 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,374,24 %,40 %,27 %,07 %,15 %,13 %,00 %,
Electrical Engineering,B. Tech.,371,22 %,20 %,13 %,33 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,365,22 %,27 %,33 %,07 %,45 %,27 %,00 %,
Mechanical Engineering,B. Tech.,437,38 %,47 %,20 %,47 %,30 %,13 %,00 %,
Electrical Engineering,B. Tech.,437,38 %,33 %,33 %,47 %,20 %,20 %,00 %,
Mechanical Engineering,B. Tech.,434,36 %,20 %,27 %,60 %,25 %,20 %,00 %,
Civil Engineering,B. Tech.,434,40 %,40 %,27 %,53 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,431,36 %,67 %,13 %,27 %,45 %,33 %,00 %,
Civil Engineering,B. Tech.,422,33 %,40 %,20 %,40 %,30 %,33 %,00 %,
Mechanical Engineering,B. Tech.,413,33 %,33 %,27 %,40 %,35 %,20 %,00 %,
Civil Engineering,B. Tech.,413,31 %,40 %,13 %,40 %,55 %,20 %,00 %,
Mechanical Engineering,B. Tech.,410,31 %,27 %,33 %,33 %,50 %,13 %,00 %,
Civil Engineering,B. Tech.,407,31 %,33 %,13 %,47 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,395,27 %,40 %,13 %,27 %,15 %,20 %,00 %,
Civil Engineering,B. Tech.,386,29 %,13 %,27 %,47 %,50 %,33 %,00 %,
Electrical Engineering,B. Tech.,377,24 %,13 %,13 %,47 %,35 %,33 %,00 %,
Civil Engineering,B. Tech.,368,24 %,20 %,20 %,33 %,15 %,40 %,00 %,
Mechanical Engineering,B. Tech.,347,20 %,27 %,13 %,20 %,35 %,20 %,00 %,
Civil Engineering,B. Tech.,338,20 %,00 %,27 %,33 %,30 %,13 %,00 %,
Civil Engineering,B. Tech.,314,13 %,07 %,13 %,20 %,35 %,07 %,00 %,
Electrical Engineering,B. Tech.,293,11 %,27 %,07 %,00 %,20 %,13 %,00 %,
Electrical Engineering,B. Tech.,287,11 %,27 %,00 %,07 %,35 %,67 %,00 %,
